Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename
Robust Beamforming Design for RIS-Aided Integrated Sensing and Communication System,"Mingan Luan, Bo Wang, Zheng Chang, Timo Hämäläinen, Fengye Hu",10.1109/TITS.2023.3248145,https://doi.org/10.1109/TITS.2023.3248145,IEEE transactions on intelligent transportation systems (Print),30,2023,-
"Joint User Localization, Channel Estimation, and Pilot Optimization for RIS-ISAC","Lechen Zhang, Xia Lei, Teng Ma, Hong Niu, Chau Yuen",10.1109/TWC.2024.3481494,https://doi.org/10.1109/TWC.2024.3481494,IEEE Transactions on Wireless Communications,3,2024,-
Fully Autonomous Reconfigurable Metasurfaces with Integrated Sensing and Communication,"Hamidreza Taghvaee, Maryam Khodadadi, G. Gradoni, Mohsen Khalily",10.23919/EuCAP60739.2024.10501539,https://doi.org/10.23919/EuCAP60739.2024.10501539,European Conference on Antennas and Propagation,1,2024,-
Meta-Learning Based Optimization for Large Scale Wireless Systems,"Rafael Cerna-Loli, B. Clerckx",10.48550/arXiv.2407.01823,https://doi.org/10.48550/arXiv.2407.01823,arXiv.org,5,2024,-
"STAR-RIS for Integrated Communication, Computing, and Sensing","Zahra Rahimian Omam, A. Bagheri, S. Danesh, S. Hosseininejad, O. Yurduseven, Mohsen Khalily",10.23919/EuCAP63536.2025.10999942,https://doi.org/10.23919/EuCAP63536.2025.10999942,European Conference on Antennas and Propagation,0,2025,-
Assessing the Potential of Space-Time-Coding Metasurfaces for Sensing and Localization,"Herman L. dos Santos, Martin Voigt Vejling, Taufik Abrão, P. Popovski",10.1109/TWC.2024.3483149,https://doi.org/10.1109/TWC.2024.3483149,IEEE Transactions on Wireless Communications,6,2024,-
Integrated Sensing and Communication With STAR-RIS Over High Mobility Scenario,"Muye Li, Shunde Zhang, Yao Ge, Zan Li, Feifei Gao, Guangjie Han, Pingzhi Fan",10.1109/GLOBECOM54140.2023.10437624,https://doi.org/10.1109/GLOBECOM54140.2023.10437624,Global Communications Conference,3,2023,-
Reconfigurable Intelligent Surfaces Assisted 6G Communications for Internet of Everything,"Sohail Ahmad, M. Tariq, M. Jan, H. Song",10.1109/JIOT.2023.3339531,https://doi.org/10.1109/JIOT.2023.3339531,IEEE Internet of Things Journal,9,2024,-
Integrated Sensing and Communication for STAR-RIS-Aided UAV Networks,"Y. Eghbali, Amir Mohammadisarab, Hosein Zarini, Mohammad Robat Mili, E. Başar, Marco Di Renzo, Henk Wymeersch",10.1109/TVT.2025.3546544,https://doi.org/10.1109/TVT.2025.3546544,IEEE Transactions on Vehicular Technology,0,2025,-
Beamforming Design for ISCC in Internet of Vehicles with RISs,"Ruihang Yang, Dezhi Wang, Shiyin Zhu, Chen Zhu, Jianrong Bao, Zhaohui Yang, Chongwen Huang",10.1109/MECOM61498.2024.10881334,https://doi.org/10.1109/MECOM61498.2024.10881334,2024 IEEE Middle East Conference on Communications and Networking (MECOM),0,2024,-
Joint Active and Passive Beamforming for Energy-Efficient STARS with Quantization and Element Selection in ISAC Systems,"Li-Hsiang Shen, Yi-Hsuan Chiu",-,-,-,0,2025,-
Dual Dielectric Metasurface for Simultaneous Sensing and Reconfigurable Reflections,"Mahesh Birari, D. S. Nagarkoti, A. Katsounaros, Hruday Kumar Reddy Mudireddy, Jagannath Malik, G. C. Alexandropoulos",10.23919/EuCAP63536.2025.10999925,https://doi.org/10.23919/EuCAP63536.2025.10999925,European Conference on Antennas and Propagation,1,2025,-
RIS-aided integrated sensing and communication: a mini-review,"Mirza Asif Haider, Yimin D. Zhang",10.3389/frsip.2023.1197240,https://doi.org/10.3389/frsip.2023.1197240,Frontiers in Signal Processing,7,2023,-
Joint Beamforming Design for Hybrid RIS-Assisted mmWave ISAC System Relying on Hybrid Precoding Structure,"Wanming Hao, Yongchao Qu, Shuang Zhou, Fang Wang, Zhaoming Lu, Shouyi Yang",10.1109/JIOT.2024.3390134,https://doi.org/10.1109/JIOT.2024.3390134,IEEE Internet of Things Journal,12,2024,-
Performance Optimization for STAR-RIS-Aided Integrated Sensing and Communication Systems,"Xiaolong Wu, Xueyan Cao, Shubin Wang",10.1109/WCNC61545.2025.10978152,https://doi.org/10.1109/WCNC61545.2025.10978152,IEEE Wireless Communications and Networking Conference,0,2025,-
Energy efficiency maximization for active RIS-aided integrated sensing and communication,"Mohamed Rihan, Alessio Zappone, Stefano Buzzi, Dirk Wübben, A. Dekorsy",10.1186/s13638-024-02346-8,https://doi.org/10.1186/s13638-024-02346-8,EURASIP Journal on Wireless Communications and Networking,1,2024,-
Joint Design for RIS-Aided ISAC via Deep Unfolding Learning,"Jifa Zhang, Mingqian Liu, Jie Tang, Nan Zhao, Dusist Niyato, Xianbin Wang",10.1109/TCCN.2024.3445380,https://doi.org/10.1109/TCCN.2024.3445380,IEEE Transactions on Cognitive Communications and Networking,5,2025,-
"Joint Sensing, Communication, and AI: A Trifecta for Resilient THz User Experiences","C. Chaccour, W. Saad, M. Debbah, H. Poor",10.1109/TWC.2024.3382192,https://doi.org/10.1109/TWC.2024.3382192,IEEE Transactions on Wireless Communications,20,2023,-
Active and Passive Beamforming for STAR-RIS Aided ISAC in IoT Networks,"Sili Wu, Shuyan Hu, Zaichuan Zhang, Xin Wang",10.1109/WCSP62071.2024.10827223,https://doi.org/10.1109/WCSP62071.2024.10827223,International Conference on Wireless Communications and Signal Processing,0,2024,-
RIS-Enabled Passive Radar towards Target Localization,"Ahmad Bazzi, Marwa Chafii",-,-,-,16,2022,-
"Deep Cooperation in ISAC System: Resource, Node and Infrastructure Perspectives","Zhiqing Wei, Haotian Liu, Zhiyong Feng, Huici Wu, Fan Liu, Qixun Zhang, Yucong Du",10.1109/IOTM.001.2400042,https://doi.org/10.1109/IOTM.001.2400042,IEEE Internet of Things Magazine,14,2024,-
Transmission Design of Active RIS-Assisted Integrated Sensing and Communication Systems,"Weihao Mao, Ke Xiong, Yang Lu, Jia You, Bo Ai, Zhiguo Ding",10.1109/ICC45041.2023.10278587,https://doi.org/10.1109/ICC45041.2023.10278587,ICC 2023 - IEEE International Conference on Communications,2,2023,-
"THz Precoding for 6G: Challenges, Solutions, and Opportunities","Jingbo Tan, L. Dai",10.1109/MWC.015.2100674,https://doi.org/10.1109/MWC.015.2100674,IEEE wireless communications,39,2023,-
User Sensing in RIS-Aided Wideband mmWave System With Beam-Squint and Beam-Split,"Jinyang Li, Shunde Zhang, Zan Li, Jianpeng Ma, O. Dobre",10.1109/TCOMM.2024.3439445,https://doi.org/10.1109/TCOMM.2024.3439445,IEEE Transactions on Communications,6,2025,-
Joint Sensing and Communication for Situational Awareness in Wireless THz Systems,"C. Chaccour, W. Saad, Omid Semiari, M. Bennis, P. Popovski",10.1109/icc45855.2022.9838764,https://doi.org/10.1109/icc45855.2022.9838764,ICC 2022 - IEEE International Conference on Communications,21,2021,-
RIS-Enabled Integrated Sensing and Communication for 6G Systems,"Dexin Wang, Ahmad Bazzi, Marwa Chafii",10.1109/WCNC57260.2024.10571090,https://doi.org/10.1109/WCNC57260.2024.10571090,IEEE Wireless Communications and Networking Conference,9,2023,-
Robust Transmission Design for RIS-Assisted Integrated Sensing and Communication Systems,"Yongqing Xu, Yong Li, Tony Q. S. Quek",10.1109/TVT.2024.3426042,https://doi.org/10.1109/TVT.2024.3426042,IEEE Transactions on Vehicular Technology,2,2024,-
"A Comprehensive Survey on Full-Duplex Communication: Current Solutions, Future Trends, and Open Issues","M. Mohammadi, Z. Mobini, D. Galappaththige, C. Tellambura",10.1109/comst.2023.3318198,https://doi.org/10.1109/comst.2023.3318198,IEEE Communications Surveys and Tutorials,60,2023,-
