track_id,phase2_source,doi,publication_year,category,present_in_final_corpus,present_in_retrieved_docs,present_in_legacy_included_studies_list,present_in_excluded_fulltext_log,provisional_reconstruction_status,notes
O_ISAC_136,phase2_extraction_dataset,10.1109/MCOM.001.2500371,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_137,phase2_extraction_dataset,10.1109/IGARSS53475.2024.10642111,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_138,phase2_extraction_dataset,10.1109/JIOT.2025.3623880,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_139,phase2_extraction_dataset,10.23919/WiOpt66569.2025.11123308,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_140,phase2_extraction_dataset,10.1109/VTC2024-Spring62846.2024.10683334,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_141,phase2_extraction_dataset,10.1109/JIOT.2024.3394041,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_142,phase2_extraction_dataset,10.1109/JPROC.2024.3397910,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_143,phase2_extraction_dataset,10.1109/WoWMoM57956.2023.00055,2023,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_144,phase2_extraction_dataset,10.1109/ICSPCC66825.2025.11194376,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_145,phase2_extraction_dataset,10.1109/TMC.2025.3618098,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_146,phase2_extraction_dataset,10.1109/PAC.1997.752764,1997,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_147,phase2_extraction_dataset,10.1109/IGARSS.2007.4422954,2007,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_148,phase2_extraction_dataset,10.1109/M2GARSS52314.2022.9839932,2022,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_149,phase2_extraction_dataset,10.1109/DASC.1994.369416,1994,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_150,phase2_extraction_dataset,10.1109/OJCOMS.2020.3010270,2020,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_151,phase2_extraction_dataset,10.1109/MNET.2024.3519187,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_152,phase2_extraction_dataset,10.1109/JLT.2025.3632104,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_153,phase2_extraction_dataset,10.1109/JSEN.2024.3470995,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_154,phase2_extraction_dataset,10.1109/IGARSS.2016.7730503,2016,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_155,phase2_extraction_dataset,10.1109/LCN65610.2025.11146333,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_156,phase2_extraction_dataset,10.1109/COMST.2023.3327327,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_157,phase2_extraction_dataset,10.1109/TIM.2024.3391338,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_158,phase2_extraction_dataset,10.1109/MVT.2023.3238481,2023,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_159,phase2_extraction_dataset,10.1109/OJCOMS.2025.3545896,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_160,phase2_extraction_dataset,10.1109/OJCS.2024.3386733,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_161,phase2_extraction_dataset,10.1109/JSTEAP.2025.3610564,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_162,phase2_extraction_dataset,10.1109/JSTEAP.2025.3603540,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_163,phase2_extraction_dataset,10.1109/COMST.2024.3519785,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_164,phase2_extraction_dataset,10.3390/s25227061,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_165,phase2_extraction_queue,10.1016/j.optcom.2025.132782,,,yes,yes,yes,no,included_final_corpus,
